timestamp,sample
1726836316750,-35
1726836316758,-46
1726836316766,-62
1726836316774,-74
1726836316782,-86
1726836316790,-89
1726836316798,-90
1726836316806,-89
1726836316814,-82
1726836316822,-76
1726836316830,-69
1726836316838,-60
1726836316846,-54
1726836316854,-52
1726836316862,-55
1726836316870,-56
1726836316878,-49
1726836316886,-47
1726836316894,-47
1726836316902,-54
1726836316910,-61
1726836316918,-71
1726836316926,-77
1726836316934,-79
1726836316942,-76
1726836316950,-75
1726836316958,-79
1726836316966,-87
1726836316974,-87
1726836316982,-88
1726836316990,-83
1726836316998,-75
1726836317006,-67
1726836317014,-62
1726836317022,-60
1726836317030,-66
1726836317038,-74
1726836317046,-73
1726836317054,-63
1726836317062,-62
1726836317070,-63
1726836317078,-62
1726836317086,-57
1726836317094,-59
1726836317102,-62
1726836317110,-61
1726836317118,-58
1726836317126,-61
1726836317134,-65
1726836317142,-63
1726836317150,-57
1726836317158,-58
1726836317166,-63
1726836317174,-65
1726836317182,-68
1726836317190,-69
1726836317198,-65
1726836317206,-50
1726836317214,-34
1726836317222,-26
1726836317230,-28
1726836317238,-38
1726836317246,-55
1726836317254,-75
1726836317262,-90
1726836317270,-90
1726836317278,-79
1726836317286,-70
1726836317294,-58
1726836317302,-50
1726836317310,-48
1726836317318,-99
1726836317326,-69
1726836317334,307
1726836317342,825
1726836317350,815
1726836317358,-13
1726836317366,-1034
1726836317374,-1350
1726836317382,-808
1726836317390,-96
1726836317398,196
1726836317406,145
1726836317414,51
1726836317422,-1
1726836317430,-17
1726836317438,-25
1726836317446,-38
1726836317454,-43
1726836317462,-44
1726836317470,-43
1726836317478,-46
1726836317486,-50
1726836317494,-51
1726836317502,-46
1726836317510,-38
1726836317518,-35
1726836317526,-37
1726836317534,-37
1726836317542,-37
1726836317550,-37
1726836317558,-34
1726836317566,-25
1726836317574,-20
1726836317582,-24
1726836317590,-30
1726836317598,-35
1726836317606,-37
1726836317614,-39
1726836317622,-43
1726836317630,-46
1726836317638,-55
1726836317646,-61
1726836317654,-61
1726836317662,-54
1726836317670,-51
1726836317678,-52
1726836317686,-61
1726836317694,-71
1726836317702,-83
1726836317710,-95
1726836317718,-113
1726836317726,-123
1726836317734,-116
1726836317742,-98
1726836317750,-86
1726836317758,-79
1726836317766,-70
1726836317774,-56
1726836317782,-43
1726836317790,-37
1726836317798,-32
1726836317806,-27
1726836317814,-30
1726836317822,-38
1726836317830,-48
1726836317838,-50
1726836317846,-54
1726836317854,-57
1726836317862,-65
1726836317870,-76
1726836317878,-80
1726836317886,-84
1726836317894,-83
1726836317902,-80
1726836317910,-79
1726836317918,-81
1726836317926,-78
1726836317934,-76
1726836317942,-76
1726836317950,-73
1726836317958,-67
1726836317966,-65
1726836317974,-69
1726836317982,-73
1726836317990,-72
1726836317998,-74
1726836318006,-70
1726836318014,-67
1726836318022,-64
1726836318030,-64
1726836318038,-68
1726836318046,-70
1726836318054,-67
1726836318062,-66
1726836318070,-66
1726836318078,-64
1726836318086,-62
1726836318094,-61
1726836318102,-64
1726836318110,-70
1726836318118,-70
1726836318126,-67
1726836318134,-55
1726836318142,-33
1726836318150,-17
1726836318158,-23
1726836318166,-47
1726836318174,-67
1726836318182,-74
1726836318190,-82
1726836318198,-91
1726836318206,-97
1726836318214,-90
1726836318222,-75
1726836318230,-58
1726836318238,-44
1726836318246,-61
1726836318254,-108
1726836318262,65
1726836318270,559
1726836318278,899
1726836318286,489
1726836318294,-528
1726836318302,-1278
1726836318310,-1145
1726836318318,-437
1726836318326,96
1726836318334,180
