,Timestamp,RR-intervals
553,1707285680.972,744.0
554,1707285681.732,760.0
555,1707285682.508,776.0
556,1707285683.26,752.0
557,1707285683.988,728.0
558,1707285684.716,728.0
559,1707285685.428,712.0
560,1707285686.132,704.0
561,1707285686.844,712.0
562,1707285687.564,720.0
563,1707285688.284,720.0
564,1707285689.108,824.0
565,1707285690.036,928.0
566,1707285690.884,848.0
567,1707285691.748,864.0
568,1707285692.58,832.0
569,1707285693.372,792.0
570,1707285694.172,800.0
571,1707285694.964,792.0
572,1707285695.732,768.0
573,1707285696.5,768.0
574,1707285697.252,752.0
575,1707285698.012,760.0
576,1707285698.748,736.0
577,1707285699.484,736.0
578,1707285700.252,768.0
579,1707285701.036,784.0
580,1707285701.82,784.0
581,1707285702.58,760.0
582,1707285703.332,752.0
583,1707285704.068,736.0
584,1707285704.804,736.0
585,1707285705.548,744.0
586,1707285706.3,752.0
587,1707285707.068,768.0
588,1707285707.844,776.0
589,1707285708.628,784.0
590,1707285709.428,800.0
591,1707285710.22,792.0
592,1707285711.004,784.0
593,1707285711.796,792.0
594,1707285712.564,768.0
595,1707285713.324,760.0
596,1707285714.068,744.0
597,1707285714.796,728.0
598,1707285715.556,760.0
599,1707285716.34,784.0
600,1707285717.132,792.0
601,1707285717.884,752.0
602,1707285718.628,744.0
603,1707285719.356,728.0
604,1707285720.084,728.0
605,1707285720.812,728.0
606,1707285721.564,752.0
607,1707285722.332,768.0
608,1707285723.1,768.0
609,1707285723.844,744.0
610,1707285724.628,784.0
611,1707285725.484,856.0
612,1707285726.348,864.0
613,1707285727.164,816.0
614,1707285727.996,832.0
615,1707285728.796,800.0
616,1707285729.588,792.0
617,1707285730.348,760.0
618,1707285731.092,744.0
619,1707285731.844,752.0
620,1707285732.588,744.0
621,1707285733.324,736.0
622,1707285734.068,744.0
623,1707285734.876,808.0
624,1707285735.772,896.0
625,1707285736.708,936.0
626,1707285737.588,880.0
627,1707285738.428,840.0
628,1707285739.252,824.0
629,1707285740.052,800.0
630,1707285740.844,792.0
631,1707285741.628,784.0
632,1707285742.46,832.0
633,1707285743.3,840.0
634,1707285744.14,840.0
635,1707285744.964,824.0
636,1707285745.764,800.0
637,1707285746.532,768.0
638,1707285747.284,752.0
639,1707285748.02,736.0
640,1707285748.74,720.0
641,1707285749.46,720.0
642,1707285750.244,784.0
643,1707285751.012,768.0
644,1707285751.764,752.0
645,1707285752.508,744.0
646,1707285753.244,736.0
647,1707285753.972,728.0
648,1707285754.708,736.0
649,1707285755.428,720.0
650,1707285756.14,712.0
651,1707285756.884,744.0
652,1707285757.684,800.0
653,1707285758.476,792.0
654,1707285759.268,792.0
655,1707285760.036,768.0
656,1707285760.804,768.0
657,1707285761.556,752.0
658,1707285762.284,728.0
659,1707285762.996,712.0
660,1707285763.724,728.0
661,1707285764.452,728.0
662,1707285765.196,744.0
663,1707285765.948,752.0
664,1707285766.732,784.0
665,1707285767.476,744.0
666,1707285768.212,736.0
667,1707285768.94,728.0
668,1707285769.676,736.0
669,1707285770.412,736.0
670,1707285771.132,720.0
671,1707285771.908,776.0
672,1707285772.716,808.0
673,1707285773.5,784.0
674,1707285774.284,784.0
675,1707285775.036,752.0
676,1707285775.788,752.0
677,1707285776.516,728.0
678,1707285777.236,720.0
679,1707285777.94,704.0
680,1707285778.628,688.0
681,1707285779.332,704.0
682,1707285780.068,736.0
683,1707285780.788,720.0
684,1707285781.572,784.0
685,1707285782.348,776.0
686,1707285783.1,752.0
687,1707285783.828,728.0
688,1707285784.556,728.0
689,1707285785.276,720.0
690,1707285785.996,720.0
691,1707285786.708,712.0
692,1707285787.42,712.0
693,1707285788.148,728.0
694,1707285788.868,720.0
695,1707285789.572,704.0
696,1707285790.276,704.0
697,1707285790.988,712.0
698,1707285791.716,728.0
699,1707285792.444,728.0
700,1707285793.156,712.0
701,1707285793.868,712.0
702,1707285794.588,720.0
703,1707285795.3,712.0
704,1707285796.02,720.0
705,1707285796.74,720.0
706,1707285797.46,720.0
707,1707285798.156,696.0
708,1707285798.86,704.0
709,1707285799.556,696.0
710,1707285800.252,696.0
711,1707285800.948,696.0
712,1707285801.636,688.0
713,1707285802.34,704.0
714,1707285803.052,712.0
715,1707285803.764,712.0
716,1707285804.508,744.0
717,1707285805.26,752.0
718,1707285805.972,712.0
719,1707285806.692,720.0
720,1707285807.444,752.0
